260511	22	0	7	0	286	13	
260811	30.0714	1	3	16.0714	421	14	
260911	42.9286	1	2	30.9286	601	14	
280001	10	0	1	0	130	13	
280102	10	0	1	0	100	10	
280103	14.1429	0	2	2.14286	198	14	
280004	16	0	4	0	176	11	
280204	25.5	1	2	13.5	306	12	
280305	22	0	7	0	220	10	
280405	52.6923	1	8	28.6923	685	13	
280506	14	0	3	0	140	10	
280507	17.0714	0	4	1.07143	239	14	
280708	13	0	1	3	130	10	
280709	18	0	5	0	144	8	
280310	45	1	6	25	405	9	
280410	68	1	7	46	476	7	
280810	16	0	4	0	176	11	
280211	32	1	4	16	352	11	
280911	18	0	5	0	144	8	
280912	20	0	6	0	240	12	
281112	42.5	1	1	32.5	595	14	
280613	47.25	1	7	25.25	567	12	
280813	47.5	1	5	29.5	570	12	
281013	37.8182	1	3	23.8182	416	11	
310001	10	0	1	0	80	8	
310102	10	0	1	0	80	8	
310103	12	0	2	0	132	11	
310204	12	0	2	0	144	12	
310205	14.3571	0	3	0.357143	201	14	
310406	18.5455	0	2	6.54545	204	11	
310506	10	0	1	0	140	14	
310607	24	0	8	0	336	14	
310408	25	0	5	7	300	12	
310809	10	0	1	0	90	9	
310810	12	0	2	0	156	13	
300001	10	0	1	0	120	12	
300102	10	0	1	0	140	14	
300103	12	0	2	0	96	8	
300304	10	0	1	0	110	11	
300305	22	0	7	0	132	6	
300406	22	0	7	0	308	14	
300507	12	0	2	0	72	6	
300208	33.125	1	6	13.125	265	8	
300408	35.6429	1	4	19.6429	499	14	
300609	18	0	5	0	216	12	
300510	18	0	5	0	252	14	
300610	16.3571	0	4	0.357143	229	14	
300810	26.6154	0	7	4.61538	346	13	
300911	12	0	2	0	144	12	
300912	14	0	3	0	154	11	
290001	10	0	1	0	70	7	
290002	22.3571	0	7	0.357143	313	14	
290103	30.5833	0	7	8.58333	367	12	
290203	10	0	1	0	130	13	
290304	21.5	1	1	11.5	215	10	
290405	10	0	1	0	70	7	
290106	25	0	4	9	275	11	
290206	17.0714	0	4	1.07143	239	14	
290406	12	0	2	0	108	9	
290507	12.4545	0	2	0.454545	137	11	
290508	56.5	1	3	42.5	565	10	
290608	41	1	2	29	410	10	
290708	38.5	1	1	28.5	462	12	
290609	144.846	1	3	130.846	1883	13	
290709	101.889	1	2	89.8889	917	9	
290809	33	1	1	23	330	10	
290910	29.6429	0	8	5.64286	415	14	
290911	26	0	6	6	182	7	
290812	53.3571	1	4	37.3571	747	14	
291012	23.5455	0	3	9.54545	259	11	
291112	44.5	1	1	34.5	623	14	
291013	83.5	1	4	67.5	1169	14	
291113	103.5	1	2	91.5	1035	10	
291314	10	0	1	0	110	11	
291315	12	0	2	0	156	13	
320001	10	0	1	0	140	14	
320002	13.0714	0	2	1.07143	183	14	
320102	19.9286	0	1	9.92857	279	14	
320103	23	1	2	11	207	9	
320203	10	0	1	0	110	11	
